Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_5_116,VGND,li1,59.3400,27.2000,0.000257
FILLER_5_113,VGND,li1,58.1900,27.2000,0.000255
FILLER_5_94,VGND,li1,49.2200,27.2000,0.000236
FILLER_5_91,VGND,li1,48.0700,27.2000,0.000236
FILLER_5_57,VGND,li1,32.2000,27.2000,0.000168
FILLER_5_47,VGND,li1,27.3700,27.2000,0.000144
FILLER_4_112,VGND,li1,57.2700,21.7600,0.000357
FILLER_4_85,VGND,li1,44.8500,21.7600,0.000297
FILLER_4_82,VGND,li1,43.7000,21.7600,0.000283
FILLER_4_79,VGND,li1,42.5500,21.7600,0.000283
FILLER_4_37,VGND,li1,23.0000,21.7600,0.000133
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000145
FILLER_4_3,VGND,li1,7.5900,21.7600,0.000151
FILLER_3_111,VGND,li1,56.8100,21.7600,0.000353
FILLER_3_67,VGND,li1,36.5700,21.7600,0.000235
FILLER_3_57,VGND,li1,32.2000,21.7600,0.000193
FILLER_3_37,VGND,li1,23.0000,21.7600,0.000133
FILLER_3_6,VGND,li1,8.5100,21.7600,0.000151
FILLER_3_3,VGND,li1,7.5900,21.7600,0.000151
FILLER_2_132,VGND,li1,66.7000,16.3200,0.000179
FILLER_2_118,VGND,li1,60.0300,16.3200,0.000178
FILLER_2_94,VGND,li1,49.4500,16.3200,0.000168
FILLER_2_32,VGND,li1,20.7000,16.3200,0.000089
FILLER_2_29,VGND,li1,19.5500,16.3200,0.000089
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000092
FILLER_2_24,VGND,li1,17.2500,16.3200,0.000092
FILLER_1_131,VGND,li1,66.4700,16.3200,0.000179
FILLER_1_128,VGND,li1,65.0900,16.3200,0.000179
FILLER_1_116,VGND,li1,59.5700,16.3200,0.000178
FILLER_1_113,VGND,li1,58.1900,16.3200,0.000177
FILLER_1_111,VGND,li1,56.8100,16.3200,0.000177
FILLER_1_99,VGND,li1,51.7500,16.3200,0.000171
FILLER_1_76,VGND,li1,40.9400,16.3200,0.000149
FILLER_1_57,VGND,li1,32.2000,16.3200,0.000111
FILLER_1_33,VGND,li1,21.1600,16.3200,0.000089
FILLER_1_30,VGND,li1,20.0100,16.3200,0.000089
FILLER_1_19,VGND,li1,14.7200,16.3200,0.000097
FILLER_1_16,VGND,li1,13.5700,16.3200,0.000097
FILLER_1_6,VGND,li1,8.5100,16.3200,0.000100
FILLER_1_3,VGND,li1,7.5900,16.3200,0.000100
FILLER_0_132,VGND,li1,66.7000,10.8800,0.000131
FILLER_0_129,VGND,li1,65.5500,10.8800,0.000131
FILLER_0_102,VGND,li1,52.9000,10.8800,0.000125
FILLER_0_57,VGND,li1,32.4300,10.8800,0.000081
FILLER_0_54,VGND,li1,30.8200,10.8800,0.000081
FILLER_0_11,VGND,li1,10.8100,10.8800,0.000077
hold114,VGND,li1,59.3400,54.4000,0.000326
hold113,VGND,li1,36.8000,32.6400,0.000259
hold112,VGND,li1,29.9000,59.8400,0.000110
hold111,VGND,li1,61.6400,38.0800,0.000268
hold110,VGND,li1,41.8600,27.2000,0.000210
hold109,VGND,li1,16.1000,43.5200,0.000162
hold108,VGND,li1,48.3000,59.8400,0.000189
hold107,VGND,li1,16.1000,70.7200,0.000156
hold106,VGND,li1,42.3200,70.7200,0.000226
hold105,VGND,li1,51.5200,27.2000,0.000246
hold104,VGND,li1,8.7400,27.2000,0.000180
hold103,VGND,li1,45.5400,27.2000,0.000228
hold102,VGND,li1,40.0200,59.8400,0.000159
hold101,VGND,li1,24.3800,54.4000,0.000121
hold100,VGND,li1,26.2200,32.6400,0.000158
hold99,VGND,li1,60.7200,70.7200,0.000268
hold98,VGND,li1,16.1000,70.7200,0.000156
hold97,VGND,li1,34.9600,10.8800,0.000093
hold96,VGND,li1,38.1800,27.2000,0.000196
hold95,VGND,li1,51.9800,21.7600,0.000344
